,Neighborhood,City,State
0,Maryvale,Phoenix,Arizona
1,Deer Valley,Phoenix,Arizona
2,Paradise Valley,Phoenix,Arizona
3,North Mountain,Phoenix,Arizona
4,Camelback East,Phoenix,Arizona
5,Alhambra,Phoenix,Arizona
6,South Mountain,Phoenix,Arizona
7,Estrella,Phoenix,Arizona
8,Ahwatukee Foothills,Phoenix,Arizona
9,Encanto,Phoenix,Arizona
10,Central City,Phoenix,Arizona
11,Desert View,Phoenix,Arizona
12,Casas Adobes,Tucson,Arizona
13,Catalina Foothills,Tucson,Arizona
14,Dobson Ranch,Mesa,Arizona
15,Cherry Avenue,Tucson,Arizona
16,Scottsdale Ranch,Scottsdale,Arizona
17,Broadway Pantano East,Tucson,Arizona
18,Grayhawk,Scottsdale,Arizona
19,Palo Verde,Tucson,Arizona
20,Julia Keen,Tucson,Arizona
21,Hedrick Acres,Tucson,Arizona
22,Sunland Village East,Mesa,Arizona
23,Riverside,Tempe,Arizona
24,West Rio,Tempe,Arizona
25,Armory Park,Tucson,Arizona
26,Woodlands Village,Flagstaff,Arizona
27,Tanglewood,Flagstaff,Arizona
28,Laveen,Phoenix,Arizona
29,Flowing Wells,Tucson,Arizona
30,Drexel Heights,Tucson,Arizona
31,North Gateway,Phoenix,Arizona
32,Arrowhead Ranch,Glendale,Arizona
33,Tanque Verde,Tucson,Arizona
34,Rita Ranch,Tucson,Arizona
35,Midvale Park,Tucson,Arizona
36,Sun Lakes,Chandler,Arizona
37,The Groves,Mesa,Arizona
38,Sunnyside,Tucson,Arizona
39,Reed Park,Mesa,Arizona
40,Tucson Estates,Tucson,Arizona
41,O'Neil Ranch,Glendale,Arizona
42,Superstition Springs,Mesa,Arizona
43,Elvira,Tucson,Arizona
44,Dietz,Tucson,Arizona
45,Las Sendas,Mesa,Arizona
46,Amphi,Tucson,Arizona
47,McDowell Mountain,Scottsdale,Arizona
48,Alta Mesa,Mesa,Arizona
49,Ocotillo,Chandler,Arizona
50,Historic Avondale,Avondale,Arizona
51,The Islands,Gilbert,Arizona
52,Menlo Park,Tucson,Arizona
53,Lyon's Gate,Gilbert,Arizona
54,Garden District,Tucson,Arizona
55,Corbett,Tucson,Arizona
56,Val Vista Lakes,Gilbert,Arizona
57,Seville,Gilbert,Arizona
58,Campus Farm,Tucson,Arizona
59,Amberwood North,Chandler,Arizona
60,South Harrison,Tucson,Arizona
61,Augusta Ranch,Mesa,Arizona
62,Summer Place Village,Mesa,Arizona
63,Myers,Tucson,Arizona
64,Park Scottsdale,Scottsdale,Arizona
65,Groves Lincoln Park,Tucson,Arizona
66,Stella Mann,Tucson,Arizona
67,Lakeside Park,Tucson,Arizona
68,Yuma Townsite,Yuma,Arizona
69,The Provinces,Chandler,Arizona
70,Keeling,Tucson,Arizona
71,Terra Del Sol,Tucson,Arizona
72,Westbrook Village,Peoria,Arizona
73,Desert Uplands,Mesa,Arizona
74,Escalante,Tempe,Arizona
75,Park of the Canals,Mesa,Arizona
76,Mesa Grande,Mesa,Arizona
77,Alegre Community,Tempe,Arizona
78,Kleinman Park,Mesa,Arizona
79,Sam Hughes,Tucson,Arizona
80,Wakefield,Tucson,Arizona
81,Westside Development,Tucson,Arizona
82,Sunland Village,Mesa,Arizona
83,West University,Tucson,Arizona
84,Country Meadows,Peoria,Arizona
85,Harrison East-South,Tucson,Arizona
86,DC Ranch,Scottsdale,Arizona
87,Limberlost,Tucson,Arizona
88,Sunset,Tempe,Arizona
89,Encanto,Mesa,Arizona
90,Meyer Park,Tempe,Arizona
91,Tempe Royal Estates,Tempe,Arizona
92,Blenman-Elm,Tucson,Arizona
93,Pueblo Gardens,Tucson,Arizona
94,Pepperwood,Tempe,Arizona
95,A Mountain,Tucson,Arizona
96,Miramonte,Tucson,Arizona
97,South Park,Tucson,Arizona
98,Fountain of the Sun,Mesa,Arizona
99,Leisure World,Mesa,Arizona
100,Trilogy,Gilbert,Arizona
101,Sunland Springs Village,Mesa,Arizona
102,Sunnyside,Flagstaff,Arizona
103,Jefferson Park,Tucson,Arizona
104,Westgreen Estates,Peoria,Arizona
105,Hearthstone,Chandler,Arizona
106,Civano,Tucson,Arizona
107,Twelve Oaks,Chandler,Arizona
108,Bravo Park Lane,Tucson,Arizona
109,Barrio Hollywood,Tucson,Arizona
110,Rincon Heights,Tucson,Arizona
111,Via De Cielo,Chandler,Arizona
112,Desert Harbor,Peoria,Arizona
113,Miracle Manor,Tucson,Arizona
114,Carino Estates,Chandler,Arizona
115,Old Fort Lowell,Tucson,Arizona
116,Thunderbird Palms,Glendale,Arizona
117,Feldman's,Tucson,Arizona
118,Golden Hills,Mesa,Arizona
119,Fiesta Park Village,Mesa,Arizona
120,Springfield Lakes,Chandler,Arizona
121,The Lakes,Tempe,Arizona
122,El G.H.E.K.O.,Tucson,Arizona
