,Neighborhood,City,State,latlon,zipcode
0,Maryvale,Phoenix,Arizona,"33.488917, -112.217092",85033.0
1,Deer Valley,Phoenix,Arizona,"33.680704, -112.115201",85027.0
2,Paradise Valley,Phoenix,Arizona,"33.618025, -111.989847",85032.0
3,North Mountain,Phoenix,Arizona,"33.590876, -112.105587",85029.0
4,Camelback East,Phoenix,Arizona,"33.502143, -112.002313",85018.0
5,Alhambra,Phoenix,Arizona,"33.525651, -112.10981",85015.0
6,South Mountain,Phoenix,Arizona,"33.381586, -112.054967",85042.0
7,Estrella,Phoenix,Arizona,"33.43299, -112.171594",85043.0
8,Ahwatukee Foothills,Phoenix,Arizona,"33.319156, -112.032026",85048.0
9,Encanto,Phoenix,Arizona,"33.476559, -112.091588",85007.0
10,Central City,Phoenix,Arizona,"33.443166, -112.050418",85034.0
11,Desert View,Phoenix,Arizona,"33.728745, -112.0007",85085.0
12,Casas Adobes,Tucson,Arizona,"32.19709, -110.828987",85710.0
13,Catalina Foothills,Tucson,Arizona,"32.19709, -110.828987",85710.0
14,Dobson Ranch,Mesa,Arizona,"33.370945, -111.879053",85202.0
15,Cherry Avenue,Tucson,Arizona,"32.19709, -110.828987",85710.0
16,Scottsdale Ranch,Scottsdale,Arizona,"33.57504, -111.8582",
17,Broadway Pantano East,Tucson,Arizona,"32.19709, -110.828987",85710.0
18,Grayhawk,Scottsdale,Arizona,"33.677626, -111.908374",85255.0
19,Palo Verde,Tucson,Arizona,"32.19709, -110.828987",85710.0
20,Julia Keen,Tucson,Arizona,"32.19709, -110.828987",85710.0
21,Hedrick Acres,Tucson,Arizona,"32.19709, -110.828987",85710.0
22,Sunland Village East,Mesa,Arizona,"33.371809, -111.660954",85209.0
23,Riverside,Tempe,Arizona,"33.425609, -111.947664",85281.0
24,West Rio,Tempe,Arizona,"33.430154, -111.968824",85281.0
25,Armory Park,Tucson,Arizona,"32.19709, -110.828987",85710.0
26,Woodlands Village,Flagstaff,Arizona,"35.190767, -111.573928",86004.0
27,Tanglewood,Flagstaff,Arizona,"32.227697, -110.8848",
28,Laveen,Phoenix,Arizona,"33.36619, -112.160264",85339.0
29,Flowing Wells,Tucson,Arizona,"32.19709, -110.828987",85710.0
30,Drexel Heights,Tucson,Arizona,"32.19709, -110.828987",85710.0
31,North Gateway,Phoenix,Arizona,"33.784737, -112.150943",
32,Arrowhead Ranch,Glendale,Arizona,"33.670427, -112.19298",85308.0
33,Tanque Verde,Tucson,Arizona,"32.255489, -110.795536",85749.0
34,Rita Ranch,Tucson,Arizona,"32.19709, -110.828987",85710.0
