,Unnamed: 0,Neighborhood,City,State,latlon
0,0,Maryvale,Phoenix,Arizona,"33.488917, -112.217092"
1,1,Deer Valley,Phoenix,Arizona,"33.680704, -112.115201"
2,2,Paradise Valley,Phoenix,Arizona,"33.618025, -111.989847"
3,3,North Mountain,Phoenix,Arizona,"33.590876, -112.105587"
4,4,Camelback East,Phoenix,Arizona,"33.502143, -112.002313"
5,5,Alhambra,Phoenix,Arizona,"33.525651, -112.10981"
6,6,South Mountain,Phoenix,Arizona,"33.381586, -112.054967"
7,7,Estrella,Phoenix,Arizona,"33.43299, -112.171594"
8,8,Ahwatukee Foothills,Phoenix,Arizona,"33.319156, -112.032026"
9,9,Encanto,Phoenix,Arizona,"33.476559, -112.091588"
10,10,Central City,Phoenix,Arizona,"33.443166, -112.050418"
11,11,Desert View,Phoenix,Arizona,"33.728745, -112.0007"
12,12,Casas Adobes,Tucson,Arizona,"32.19709, -110.828987"
13,13,Catalina Foothills,Tucson,Arizona,"32.19709, -110.828987"
14,14,Dobson Ranch,Mesa,Arizona,"33.370945, -111.879053"
15,15,Cherry Avenue,Tucson,Arizona,"32.19709, -110.828987"
16,16,Scottsdale Ranch,Scottsdale,Arizona,"33.57504, -111.8582"
17,17,Broadway Pantano East,Tucson,Arizona,"32.19709, -110.828987"
18,18,Grayhawk,Scottsdale,Arizona,"33.677626, -111.908374"
19,19,Palo Verde,Tucson,Arizona,"32.19709, -110.828987"
20,20,Julia Keen,Tucson,Arizona,"32.19709, -110.828987"
21,21,Hedrick Acres,Tucson,Arizona,"32.19709, -110.828987"
22,22,Sunland Village East,Mesa,Arizona,"33.371809, -111.660954"
23,23,Riverside,Tempe,Arizona,"33.425609, -111.947664"
24,24,West Rio,Tempe,Arizona,"33.430154, -111.968824"
25,25,Armory Park,Tucson,Arizona,"32.19709, -110.828987"
26,26,Woodlands Village,Flagstaff,Arizona,"35.190767, -111.573928"
27,27,Tanglewood,Flagstaff,Arizona,"32.227697, -110.8848"
28,28,Laveen,Phoenix,Arizona,"33.36619, -112.160264"
29,29,Flowing Wells,Tucson,Arizona,"32.19709, -110.828987"
30,30,Drexel Heights,Tucson,Arizona,"32.19709, -110.828987"
31,31,North Gateway,Phoenix,Arizona,"33.784737, -112.150943"
32,32,Arrowhead Ranch,Glendale,Arizona,"33.670427, -112.19298"
33,33,Tanque Verde,Tucson,Arizona,"32.255489, -110.795536"
34,34,Rita Ranch,Tucson,Arizona,"32.19709, -110.828987"
35,35,Midvale Park,Tucson,Arizona,"32.13228, -111.00007"
36,36,Sun Lakes,Chandler,Arizona,"33.218062, -111.875717"
37,37,The Groves,Mesa,Arizona,"33.437128, -111.762557"
38,38,Sunnyside,Tucson,Arizona,"32.145386, -110.994324"
39,39,Reed Park,Mesa,Arizona,"33.40616, -111.79569"
40,40,Tucson Estates,Tucson,Arizona,"32.19709, -110.828987"
41,41,O'Neil Ranch,Glendale,Arizona,"33.540229, -112.185256"
